date,home_team,away_team,home_goals,away_goals,tournament,neutral
1990-06-08,Argentina,Cameroon,0,1,World Cup,1
1990-06-08,Italy,Austria,1,0,World Cup,1
1990-06-09,Brazil,Sweden,2,1,World Cup,1
1990-06-09,United States,Czechoslovakia,1,5,World Cup,1
1990-06-10,England,Ireland,1,1,World Cup,1
1990-06-10,Netherlands,Egypt,1,1,World Cup,1
1990-06-23,Cameroon,Colombia,2,1,World Cup,1
1990-06-24,West Germany,Netherlands,2,1,World Cup,1
1990-06-24,England,Belgium,1,0,World Cup,1
1990-06-25,Argentina,Brazil,1,0,World Cup,1
1990-06-26,Italy,Uruguay,2,0,World Cup,1
1990-06-30,Argentina,Yugoslavia,0,0,World Cup,1
1990-07-01,Italy,Ireland,1,0,World Cup,1
1990-07-03,West Germany,Czechoslovakia,1,0,World Cup,1
1990-07-03,Argentina,Italy,1,1,World Cup,1
1990-07-07,Italy,England,2,1,World Cup,1
1990-07-08,West Germany,Argentina,1,0,World Cup,1
1994-06-18,Germany,Bolivia,1,0,World Cup,1
1994-06-18,Spain,South Korea,2,2,World Cup,1
1994-06-19,United States,Switzerland,1,1,World Cup,1
1994-06-19,Brazil,Russia,2,0,World Cup,1
1994-06-20,Argentina,Greece,4,0,World Cup,1
1994-06-21,Italy,Ireland,0,1,World Cup,1
1994-06-21,Netherlands,Saudi Arabia,2,1,World Cup,1
1994-06-22,Belgium,Morocco,1,0,World Cup,1
1994-06-22,England,Netherlands,1,2,World Cup,1
1994-07-02,Germany,Belgium,3,2,World Cup,1
1994-07-02,Spain,Switzerland,3,0,World Cup,1
1994-07-03,Brazil,United States,1,0,World Cup,1
1994-07-03,Netherlands,Ireland,2,0,World Cup,1
1994-07-04,Italy,Nigeria,2,1,World Cup,1
1994-07-04,Argentina,Romania,2,3,World Cup,1
1994-07-05,Bulgaria,Mexico,1,1,World Cup,1
1994-07-09,Italy,Spain,2,1,World Cup,1
1994-07-09,Brazil,Netherlands,3,2,World Cup,1
1994-07-10,Germany,Bulgaria,1,2,World Cup,1
1994-07-10,Sweden,Romania,2,2,World Cup,1
1994-07-13,Brazil,Sweden,1,0,World Cup,1
1994-07-13,Bulgaria,Italy,1,2,World Cup,1
1994-07-17,Brazil,Italy,0,0,World Cup,1
1998-06-10,Brazil,Scotland,2,1,World Cup,1
1998-06-10,Morocco,Norway,2,2,World Cup,1
1998-06-11,Argentina,Japan,1,0,World Cup,1
1998-06-11,Jamaica,Croatia,1,3,World Cup,1
1998-06-12,France,South Africa,3,0,World Cup,1
1998-06-12,England,Tunisia,2,0,World Cup,1
1998-06-13,Germany,United States,2,0,World Cup,1
1998-06-13,Netherlands,Belgium,0,0,World Cup,1
1998-06-14,Spain,Nigeria,3,1,World Cup,1
1998-06-15,Italy,Chile,2,1,World Cup,1
1998-06-27,France,Paraguay,1,0,World Cup,1
1998-06-28,Brazil,Chile,4,1,World Cup,1
1998-06-28,Denmark,Nigeria,4,1,World Cup,1
1998-06-29,Germany,Mexico,2,1,World Cup,1
1998-06-29,Netherlands,Yugoslavia,2,1,World Cup,1
1998-06-30,Argentina,England,2,2,World Cup,1
1998-06-30,Italy,Romania,0,0,World Cup,1
1998-07-03,France,Italy,0,0,World Cup,1
1998-07-03,Brazil,Denmark,3,2,World Cup,1
1998-07-04,Netherlands,Argentina,2,1,World Cup,1
1998-07-04,Germany,Croatia,0,3,World Cup,1
1998-07-07,Brazil,Netherlands,1,1,World Cup,1
1998-07-08,France,Croatia,2,1,World Cup,1
1998-07-12,Brazil,France,0,3,World Cup,1
2002-05-31,France,Senegal,0,1,World Cup,1
2002-05-31,Uruguay,Denmark,1,2,World Cup,1
2002-06-01,Argentina,Nigeria,1,0,World Cup,1
2002-06-01,England,Sweden,1,1,World Cup,1
2002-06-02,Brazil,Turkey,2,1,World Cup,1
2002-06-02,Germany,Saudi Arabia,8,0,World Cup,1
2002-06-03,Italy,Ecuador,2,0,World Cup,1
2002-06-03,Spain,Slovenia,3,1,World Cup,1
2002-06-04,Japan,Belgium,2,2,World Cup,1
2002-06-04,South Korea,Poland,2,0,World Cup,1
2002-06-15,Germany,Paraguay,1,0,World Cup,1
2002-06-15,England,Denmark,3,0,World Cup,1
2002-06-16,Spain,Ireland,1,1,World Cup,1
2002-06-16,Brazil,Belgium,2,0,World Cup,1
2002-06-17,South Korea,Italy,2,1,World Cup,1
2002-06-17,United States,Mexico,2,0,World Cup,1
2002-06-18,Senegal,Sweden,2,1,World Cup,1
2002-06-18,Japan,Turkey,0,1,World Cup,1
2002-06-21,Germany,United States,1,0,World Cup,1
2002-06-21,South Korea,Spain,0,0,World Cup,1
2002-06-22,Brazil,England,2,1,World Cup,1
2002-06-22,Senegal,Turkey,0,1,World Cup,1
